[2026-03-29 21:47:58] Min FPS: 7.5 | Max FPS: 17.9
[2026-03-29 21:48:08] Min FPS: 7.6 | Max FPS: 17.5
[2026-03-29 21:48:18] Min FPS: 8.1 | Max FPS: 17.5
[2026-03-29 21:48:28] Min FPS: 7.6 | Max FPS: 18.9
[2026-03-29 21:48:38] Min FPS: 8.7 | Max FPS: 17.2
[2026-03-29 21:48:48] Min FPS: 9.2 | Max FPS: 18.9
[2026-03-29 21:48:58] Min FPS: 7.8 | Max FPS: 17.5
[2026-03-29 21:49:08] Min FPS: 7.2 | Max FPS: 17.9
[2026-03-29 21:49:18] Min FPS: 8.3 | Max FPS: 17.9
[2026-03-29 21:49:28] Min FPS: 9.1 | Max FPS: 19.6
[2026-03-29 21:49:39] Min FPS: 9.4 | Max FPS: 17.5
[2026-03-29 21:49:49] Min FPS: 7.5 | Max FPS: 18.5
[2026-03-29 21:49:59] Min FPS: 8.3 | Max FPS: 18.2
[2026-03-29 21:50:09] Min FPS: 7.6 | Max FPS: 18.5
[2026-03-29 21:50:19] Min FPS: 7.6 | Max FPS: 17.2
[2026-03-29 21:50:29] Min FPS: 8.5 | Max FPS: 17.9
[2026-03-29 21:50:39] Min FPS: 9.1 | Max FPS: 17.5
[2026-03-29 21:50:49] Min FPS: 7.9 | Max FPS: 17.9
[2026-03-29 21:50:59] Min FPS: 6.8 | Max FPS: 17.5
[2026-03-29 21:51:09] Min FPS: 8.3 | Max FPS: 17.9
[2026-03-29 21:51:19] Min FPS: 7.8 | Max FPS: 17.5
[2026-03-29 21:51:29] Min FPS: 7.6 | Max FPS: 18.5
[2026-03-29 21:51:39] Min FPS: 6.5 | Max FPS: 17.9
[2026-03-29 21:51:49] Min FPS: 6.8 | Max FPS: 17.9
[2026-03-29 21:51:59] Min FPS: 7.1 | Max FPS: 17.9
[2026-03-29 21:52:09] Min FPS: 9.1 | Max FPS: 17.5
[2026-03-29 21:52:19] Min FPS: 7.0 | Max FPS: 18.5
[2026-03-29 21:52:29] Min FPS: 8.8 | Max FPS: 17.9
[2026-03-29 21:52:39] Min FPS: 6.7 | Max FPS: 17.2
[2026-03-29 21:52:49] Min FPS: 8.2 | Max FPS: 17.5
[2026-03-29 21:52:59] Min FPS: 8.5 | Max FPS: 18.5
[2026-03-29 21:53:09] Min FPS: 7.2 | Max FPS: 17.2
[2026-03-29 21:53:19] Min FPS: 7.7 | Max FPS: 17.9
[2026-03-29 21:53:29] Min FPS: 8.3 | Max FPS: 17.5
[2026-03-29 21:53:39] Min FPS: 7.7 | Max FPS: 18.2
[2026-03-29 21:53:49] Min FPS: 6.8 | Max FPS: 17.9
[2026-03-29 21:54:00] Min FPS: 7.2 | Max FPS: 17.5
[2026-03-29 21:54:10] Min FPS: 8.0 | Max FPS: 18.2
[2026-03-29 21:54:20] Min FPS: 8.6 | Max FPS: 17.9
[2026-03-29 21:54:30] Min FPS: 8.7 | Max FPS: 17.5
[2026-03-29 21:54:40] Min FPS: 8.6 | Max FPS: 17.9
[2026-03-29 21:54:50] Min FPS: 8.5 | Max FPS: 17.5
[2026-03-29 21:55:00] Min FPS: 8.7 | Max FPS: 18.2
[2026-03-29 21:55:10] Min FPS: 8.3 | Max FPS: 18.2
[2026-03-29 21:55:20] Min FPS: 8.8 | Max FPS: 17.5
[2026-03-29 21:55:30] Min FPS: 8.5 | Max FPS: 17.2
[2026-03-29 21:55:40] Min FPS: 7.6 | Max FPS: 18.5
[2026-03-29 21:55:50] Min FPS: 4.1 | Max FPS: 43.5
[2026-03-29 21:56:00] Min FPS: 8.8 | Max FPS: 17.2
[2026-03-29 21:56:10] Min FPS: 8.8 | Max FPS: 17.9
[2026-03-29 21:56:20] Min FPS: 7.9 | Max FPS: 18.5
[2026-03-29 21:56:30] Min FPS: 9.7 | Max FPS: 17.2
[2026-03-29 21:56:40] Min FPS: 9.5 | Max FPS: 17.9
[2026-03-29 21:56:50] Min FPS: 8.3 | Max FPS: 18.5
[2026-03-29 21:57:00] Min FPS: 9.0 | Max FPS: 17.5
[2026-03-29 21:57:10] Min FPS: 7.4 | Max FPS: 18.2
[2026-03-29 21:57:20] Min FPS: 7.2 | Max FPS: 18.5
[2026-03-29 21:57:31] Min FPS: 7.1 | Max FPS: 18.9
